Geography,Date,ASP,type
HartfordSpringfield,2/1/2015,1.32,Conventional
Houston,2/1/2015,0.72,Conventional
Indianapolis,2/1/2015,0.92,Conventional
Jacksonville,2/1/2015,0.92,Conventional
LasVegas,2/1/2015,0.94,Conventional
LosAngeles,2/1/2015,0.74,Conventional
Louisville,2/1/2015,0.90,Conventional
MiamiFtLauderdale,2/1/2015,0.95,Conventional
Midsouth,2/1/2015,0.99,Conventional
Nashville,2/1/2015,0.94,Conventional
NewOrleansMobile,2/1/2015,0.81,Conventional
NewYork,2/1/2015,1.36,Conventional
Northeast,2/1/2015,1.23,Conventional
NorthernNewEngland,2/1/2015,1.06,Conventional
Orlando,2/1/2015,0.95,Conventional
Philadelphia,2/1/2015,1.14,Conventional
PhoenixTucson,2/1/2015,0.56,Conventional
Pittsburgh,2/1/2015,1.25,Conventional
Plains,2/1/2015,0.92,Conventional
Portland,2/1/2015,0.98,Conventional
RaleighGreensboro,2/1/2015,0.99,Conventional
RichmondNorfolk,2/1/2015,0.97,Conventional
Roanoke,2/1/2015,1.00,Conventional
Sacramento,2/1/2015,1.04,Conventional
SanDiego,2/1/2015,0.85,Conventional
SanFrancisco,2/1/2015,0.91,Conventional
Seattle,2/1/2015,0.97,Conventional
SouthCarolina,2/1/2015,0.91,Conventional
SouthCentral,2/1/2015,0.71,Conventional
Southeast,2/1/2015,0.93,Conventional
Spokane,2/1/2015,0.97,Conventional
StLouis,2/1/2015,1.10,Conventional
Syracuse,2/1/2015,1.26,Conventional
Tampa,2/1/2015,0.92,Conventional
TotalUS,2/1/2015,0.89,Conventional
West,2/1/2015,0.84,Conventional
WestTexNewMexico,2/1/2015,0.71,Conventional
Albany,2/1/2015,1.83,Organic
Atlanta,2/1/2015,1.44,Organic
Baltimore/Washington,2/1/2015,1.15,Organic
Boise,2/1/2015,1.43,Organic
Boston,2/1/2015,1.78,Organic
BuffaloRochester,2/1/2015,1.55,Organic
California,2/1/2015,1.11,Organic
Charlotte,2/1/2015,1.93,Organic
Chicago,2/1/2015,1.52,Organic
CincinnatiDayton,2/1/2015,1.19,Organic
Columbus,2/1/2015,1.63,Organic
DallasFtWorth,2/1/2015,1.24,Organic
Denver,2/1/2015,1.29,Organic
Detroit,2/1/2015,1.55,Organic
GrandRapids,2/1/2015,1.98,Organic
GreatLakes,2/1/2015,1.53,Organic
HarrisburgScranton,2/1/2015,1.65,Organic
HartfordSpringfield,2/1/2015,1.54,Organic
Houston,2/1/2015,1.15,Organic
Indianapolis,2/1/2015,1.69,Organic
Jacksonville,2/1/2015,1.76,Organic
LasVegas,2/1/2015,1.60,Organic
LosAngeles,2/1/2015,1.12,Organic
Louisville,2/1/2015,1.55,Organic
MiamiFtLauderdale,2/1/2015,1.73,Organic
Midsouth,2/1/2015,1.44,Organic
Nashville,2/1/2015,1.65,Organic
NewOrleansMobile,2/1/2015,1.48,Organic
NewYork,2/1/2015,1.93,Organic
Northeast,2/1/2015,1.78,Organic
NorthernNewEngland,2/1/2015,1.89,Organic
Orlando,2/1/2015,1.76,Organic
Philadelphia,2/1/2015,1.69,Organic
PhoenixTucson,2/1/2015,1.18,Organic
Pittsburgh,2/1/2015,1.77,Organic
Plains,2/1/2015,1.67,Organic
Portland,2/1/2015,1.20,Organic
RaleighGreensboro,2/1/2015,1.79,Organic
RichmondNorfolk,2/1/2015,1.58,Organic
Roanoke,2/1/2015,1.50,Organic
Sacramento,2/1/2015,1.22,Organic
SanDiego,2/1/2015,1.11,Organic
SanFrancisco,2/1/2015,1.06,Organic
Seattle,2/1/2015,1.44,Organic
SouthCarolina,2/1/2015,1.66,Organic
SouthCentral,2/1/2015,1.28,Organic
Southeast,2/1/2015,1.60,Organic
Spokane,2/1/2015,1.38,Organic
StLouis,2/1/2015,1.93,Organic
Syracuse,2/1/2015,1.65,Organic
Tampa,2/1/2015,1.68,Organic
TotalUS,2/1/2015,1.36,Organic
West,2/1/2015,1.34,Organic
WestTexNewMexico,2/1/2015,1.77,Organic
Albany,2/8/2015,0.99,Conventional
Albany,2/8/2015,0.99,Conventional
Atlanta,2/8/2015,1.03,Conventional
Baltimore/Washington,2/8/2015,1.09,Conventional
Boise,2/8/2015,1.07,Conventional
Boston,2/8/2015,1.04,Conventional
BuffaloRochester,2/8/2015,1.36,Conventional
California,2/8/2015,0.91,Conventional
Charlotte,2/8/2015,1.17,Conventional
Chicago,2/8/2015,1.13,Conventional
CincinnatiDayton,2/8/2015,0.93,Conventional
Columbus,2/8/2015,0.96,Conventional
DallasFtWorth,2/8/2015,0.67,Conventional
Denver,2/8/2015,0.95,Conventional
Detroit,2/8/2015,1.11,Conventional
GrandRapids,2/8/2015,1.24,Conventional
GreatLakes,2/8/2015,1.07,Conventional
HarrisburgScranton,2/8/2015,1.02,Conventional
HartfordSpringfield,2/8/2015,1.09,Conventional
Houston,2/8/2015,0.70,Conventional
Indianapolis,2/8/2015,0.98,Conventional
Jacksonville,2/8/2015,1.21,Conventional
LasVegas,2/8/2015,1.01,Conventional
LosAngeles,2/8/2015,0.90,Conventional
Louisville,2/8/2015,1.00,Conventional
MiamiFtLauderdale,2/8/2015,1.25,Conventional
Midsouth,2/8/2015,1.06,Conventional
Nashville,2/8/2015,0.94,Conventional
NewOrleansMobile,2/8/2015,0.93,Conventional
NewYork,2/8/2015,1.11,Conventional
Northeast,2/8/2015,1.09,Conventional
NorthernNewEngland,2/8/2015,1.03,Conventional
Orlando,2/8/2015,1.23,Conventional
Philadelphia,2/8/2015,1.09,Conventional
PhoenixTucson,2/8/2015,0.64,Conventional
Pittsburgh,2/8/2015,1.38,Conventional
Plains,2/8/2015,0.98,Conventional
Portland,2/8/2015,1.08,Conventional
RaleighGreensboro,2/8/2015,1.14,Conventional
RichmondNorfolk,2/8/2015,1.06,Conventional
Roanoke,2/8/2015,1.02,Conventional
Sacramento,2/8/2015,0.98,Conventional
SanDiego,2/8/2015,0.98,Conventional
SanFrancisco,2/8/2015,0.92,Conventional
Seattle,2/8/2015,1.08,Conventional
SouthCarolina,2/8/2015,1.06,Conventional
SouthCentral,2/8/2015,0.73,Conventional
Southeast,2/8/2015,1.11,Conventional
Spokane,2/8/2015,1.03,Conventional
StLouis,2/8/2015,1.09,Conventional
Syracuse,2/8/2015,1.25,Conventional
Tampa,2/8/2015,1.19,Conventional
TotalUS,2/8/2015,0.95,Conventional
West,2/8/2015,0.89,Conventional
WestTexNewMexico,2/8/2015,0.72,Conventional
Albany,2/8/2015,1.59,Organic
Atlanta,2/8/2015,1.29,Organic
Baltimore/Washington,2/8/2015,1.43,Organic
Boise,2/8/2015,1.35,Organic
Boston,2/8/2015,1.91,Organic
BuffaloRochester,2/8/2015,1.54,Organic
California,2/8/2015,1.35,Organic
Charlotte,2/8/2015,1.87,Organic
Chicago,2/8/2015,1.78,Organic
CincinnatiDayton,2/8/2015,1.24,Organic
Columbus,2/8/2015,1.78,Organic
DallasFtWorth,2/8/2015,1.35,Organic
Denver,2/8/2015,1.40,Organic
Detroit,2/8/2015,1.86,Organic
GrandRapids,2/8/2015,1.79,Organic
GreatLakes,2/8/2015,1.64,Organic
HarrisburgScranton,2/8/2015,1.67,Organic
HartfordSpringfield,2/8/2015,2.37,Organic
Houston,2/8/2015,1.25,Organic
Indianapolis,2/8/2015,1.68,Organic
Jacksonville,2/8/2015,1.71,Organic
LasVegas,2/8/2015,1.68,Organic
LosAngeles,2/8/2015,1.29,Organic
Louisville,2/8/2015,1.61,Organic
MiamiFtLauderdale,2/8/2015,1.72,Organic
Midsouth,2/8/2015,1.58,Organic
Nashville,2/8/2015,1.64,Organic
NewOrleansMobile,2/8/2015,1.53,Organic
NewYork,2/8/2015,1.95,Organic
Northeast,2/8/2015,1.85,Organic
NorthernNewEngland,2/8/2015,1.88,Organic
Orlando,2/8/2015,1.75,Organic
Philadelphia,2/8/2015,1.76,Organic
PhoenixTucson,2/8/2015,1.55,Organic
Pittsburgh,2/8/2015,1.60,Organic
Plains,2/8/2015,1.54,Organic
Portland,2/8/2015,1.23,Organic
